Header format=1 ntrks=1 division=384
Track start
Time=0  Tempo, microseconds-per-MIDI-quarter-note=500000
Time=19508  Note on, chan=1 pitch=72 vol=0
Time=19508  Note on, chan=1 pitch=61 vol=0
Time=19916  Parameter, chan=1 c1=64 c2=0
Time=19948  Note on, chan=1 pitch=70 vol=67
Time=19952  Note on, chan=1 pitch=67 vol=79
Time=19952  Note on, chan=1 pitch=63 vol=67
Time=19960  Note on, chan=1 pitch=60 vol=70
Time=19960  Note on, chan=1 pitch=55 vol=73
Time=19964  Note on, chan=1 pitch=58 vol=64
Time=20072  Parameter, chan=1 c1=64 c2=127
Time=20144  Note on, chan=1 pitch=67 vol=0
Time=20148  Note on, chan=1 pitch=55 vol=0
Time=20152  Note on, chan=1 pitch=58 vol=0
Time=20156  Note on, chan=1 pitch=60 vol=0
Time=20164  Note on, chan=1 pitch=70 vol=0
Time=20168  Note on, chan=1 pitch=63 vol=0
Time=20588  Parameter, chan=1 c1=64 c2=0
Time=20596  Parameter, chan=1 c1=64 c2=127
Time=20604  Parameter, chan=1 c1=64 c2=0
Time=20616  Note on, chan=1 pitch=67 vol=73
Time=20616  Note on, chan=1 pitch=63 vol=70
Time=20620  Note on, chan=1 pitch=60 vol=70
Time=20624  Note on, chan=1 pitch=55 vol=82
Time=20624  Note on, chan=1 pitch=56 vol=70
Time=20980  Parameter, chan=1 c1=64 c2=127
Time=21064  Note on, chan=1 pitch=60 vol=0
Time=21076  Note on, chan=1 pitch=63 vol=0
Time=21080  Note on, chan=1 pitch=55 vol=0
Time=21084  Note on, chan=1 pitch=56 vol=0
Time=21100  Note on, chan=1 pitch=67 vol=0
Time=21404  Parameter, chan=1 c1=64 c2=0
Time=21756  Note on, chan=1 pitch=68 vol=79
Time=21760  Note on, chan=1 pitch=61 vol=76
Time=21760  Note on, chan=1 pitch=56 vol=82
Time=21764  Note on, chan=1 pitch=65 vol=82
Time=21796  Parameter, chan=1 c1=64 c2=127
Time=21864  Note on, chan=1 pitch=61 vol=0
Time=21876  Note on, chan=1 pitch=56 vol=0
Time=21888  Note on, chan=1 pitch=65 vol=0
Time=21896  Note on, chan=1 pitch=68 vol=0
Time=22020  Note on, chan=1 pitch=72 vol=93
Time=22092  Note on, chan=1 pitch=72 vol=0
Time=22228  Parameter, chan=1 c1=64 c2=0
Time=22236  Note on, chan=1 pitch=72 vol=79
Time=22248  Note on, chan=1 pitch=67 vol=76
Time=22252  Note on, chan=1 pitch=61 vol=73
Time=22256  Note on, chan=1 pitch=55 vol=82
Time=22624  Parameter, chan=1 c1=64 c2=127
Time=22728  Note on, chan=1 pitch=61 vol=0
Time=22732  Note on, chan=1 pitch=55 vol=0
Time=22732  Note on, chan=1 pitch=67 vol=0
Time=22736  Note on, chan=1 pitch=72 vol=0
Time=23024  Note on, chan=1 pitch=70 vol=67
Time=23032  Parameter, chan=1 c1=64 c2=0
Time=23036  Note on, chan=1 pitch=67 vol=76
Time=23036  Note on, chan=1 pitch=63 vol=64
Time=23040  Note on, chan=1 pitch=60 vol=73
Time=23044  Note on, chan=1 pitch=58 vol=57
Time=23044  Note on, chan=1 pitch=55 vol=76
Time=23500  Parameter, chan=1 c1=64 c2=127
Time=23876  Note on, chan=1 pitch=67 vol=0
Time=23880  Note on, chan=1 pitch=63 vol=0
Time=23904  Note on, chan=1 pitch=55 vol=0
Time=23904  Note on, chan=1 pitch=60 vol=0
Time=23928  Note on, chan=1 pitch=58 vol=0
Time=23944  Note on, chan=1 pitch=70 vol=0
Time=24436  Parameter, chan=1 c1=64 c2=0
Time=24564  Note on, chan=1 pitch=68 vol=82
Time=24564  Note on, chan=1 pitch=53 vol=85
Time=24568  Note on, chan=1 pitch=59 vol=76
Time=24568  Note on, chan=1 pitch=65 vol=89
Time=24656  Parameter, chan=1 c1=64 c2=127
Time=24692  Note on, chan=1 pitch=68 vol=0
Time=24696  Note on, chan=1 pitch=65 vol=0
Time=24712  Note on, chan=1 pitch=59 vol=0
Time=24720  Note on, chan=1 pitch=53 vol=0
Time=25296  Parameter, chan=1 c1=64 c2=0
Time=25304  Parameter, chan=1 c1=64 c2=127
Time=25312  Parameter, chan=1 c1=64 c2=0
Time=25312  Note on, chan=1 pitch=63 vol=79
Time=25320  Note on, chan=1 pitch=58 vol=73
Time=25324  Note on, chan=1 pitch=68 vol=62
Time=25324  Note on, chan=1 pitch=72 vol=76
Time=25332  Note on, chan=1 pitch=52 vol=79
Time=25628  Parameter, chan=1 c1=64 c2=127
Time=25736  Note on, chan=1 pitch=63 vol=0
Time=25748  Note on, chan=1 pitch=72 vol=0
Time=25752  Note on, chan=1 pitch=52 vol=0
Time=25764  Note on, chan=1 pitch=68 vol=0
Time=25764  Note on, chan=1 pitch=58 vol=0
Time=26060  Parameter, chan=1 c1=64 c2=0
Time=26104  Note on, chan=1 pitch=70 vol=67
Time=26104  Note on, chan=1 pitch=67 vol=79
Time=26112  Note on, chan=1 pitch=56 vol=73
Time=26116  Note on, chan=1 pitch=55 vol=73
